Signal Legend:

Key        Signal Name

0        = DA_A
1        = AD_B
2        = bitstream_out
3        = fifo_wr
4        = fifo_read_en
5        = bitstream_in
6        = fifo_empty
7        = fifo_full
8        = Demod_0
9        = Demod_1
10       = Valid_RX
11       = DA_B[19..33]
12       = AD_A[17..31]
13       = SW[6]
14       = SW[7]
15       = SW[8]
16       = SW[9]
17       = LEDR[3]
18       = LEDR[4]
19       = LEDR[5]
20       = LEDR[9]
21       = SW[3]
22       = SW[4]
23       = SW[5]
24       = GPIO_0[0]
25       = GPIO_0[16]
26       = GPIO_0[18]
27       = GPIO_1[0]
28       = GPIO_0[2]
29       = GPIO_0[32]
30       = GPIO_0[33]
31       = GPIO_0[34]
32       = GPIO_0[35]
33       = GPIO_1[16]
34       = GPIO_1[17]
35       = GPIO_1[18]
36       = GPIO_1[20]
37       = GPIO_1[2]
38       = GPIO_1[34]
39       = GPIO_1[35]
40       = KEY_N[0]
41       = KEY_N[1]
42       = KEY_N[2]
43       = KEY_N[3]

Data Table:

Signals-> 0     1     2 3 4 5 6 7 8 9 10 11    12    13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 

sample

10        4096  6377  0 0 1 0 0 0 0 0 0  4096  15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
11        3462  6488  0 0 0 0 0 0 0 0 0  3462  2046  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
12        3785  6522  1 1 0 0 0 0 0 0 0  3785  2046  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
13        4946  6581  0 1 1 0 0 0 0 0 0  4946  15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
14        5664  6537  0 0 1 0 0 0 0 0 0  5664  15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
15        4310  6628  0 0 0 0 0 0 0 0 0  4310  15358 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
16        2218  6719  1 1 0 0 0 0 0 0 0  2218  15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
17        -1    6701  0 1 1 0 0 0 0 0 0  16383 11262 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
18        -2221 6510  0 0 1 0 0 0 0 0 0  14163 7166  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
19        -4735 6811  0 0 0 0 0 0 0 0 0  11649 7166  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
20        -5667 7071  1 1 0 0 0 0 0 0 0  10717 15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
21        -4948 7360  1 1 1 0 0 0 0 0 0  11436 15358 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
22        -3788 7115  1 0 1 0 0 0 0 0 0  12596 15358 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
23        -3887 6178  1 0 0 0 0 0 0 0 0  12497 2046  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
24        -4099 -5315 1 1 0 0 0 0 0 0 0  12285 7166  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
25        -4100 -5797 1 1 1 0 0 0 0 0 0  12284 2046  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
26        -4099 -6795 1 0 1 0 0 0 0 0 0  12285 15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
27        -3887 -7204 1 0 0 0 0 0 0 0 0  12497 15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
28        -4099 -7019 1 1 0 0 0 0 0 0 0  12285 7166  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
29        -4100 -6603 0 1 1 0 0 0 0 0 0  12284 15358 0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
30        -4099 -6666 0 0 1 0 0 0 0 0 0  12285 7166  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
31        -3464 -6765 0 0 0 0 0 0 0 0 0  12920 2046  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
32        -3788 -6790 1 1 0 0 0 0 0 0 0  12596 4094  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
33        -4948 -6845 0 1 1 0 0 0 0 0 0  11436 2046  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
34        -5667 -6794 0 0 1 0 0 0 0 0 0  10717 2046  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
35        -4312 -6882 0 0 0 0 0 0 0 0 0  12072 15358 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
36        -2221 -6930 1 1 0 0 0 0 0 0 0  14163 15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
37        -1    -6949 1 1 1 0 0 0 0 0 0  16383 15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
38        2218  -6774 1 0 1 0 0 0 0 0 0  2218  2046  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
39        4733  -6891 1 0 0 0 0 0 0 0 0  4733  15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
40        5664  -7299 1 1 0 0 0 0 0 0 0  5664  15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
41        4946  -7594 1 1 1 0 0 0 0 0 0  4946  2046  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
42        3785  -6401 1 0 1 0 0 0 0 0 0  3785  11262 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
43        3885  -6411 1 0 0 0 0 0 0 0 0  3885  7166  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
44        4096  -5637 1 1 0 0 0 0 0 0 0  4096  15358 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
45        4098  6119  0 1 1 0 0 0 0 0 0  4098  11262 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
46        4096  6440  0 0 1 0 0 0 0 0 0  4096  15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
47        3885  6868  0 0 0 0 0 0 0 0 0  3885  2046  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
48        4096  6732  1 1 0 0 0 0 0 0 0  4096  11262 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
49        4098  6306  1 1 1 0 0 0 0 0 0  4098  6142  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
50        4096  6369  1 0 1 0 0 0 0 0 0  4096  2046  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
51        3462  6483  1 0 0 0 0 0 0 0 0  3462  15358 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
